PlayerID,PlayerName,birthDate,birthPlace,draft_pick,draft_round,draft_year,college,height,weight,shoots,position
474,Devin Harris,"February 27, 1983",USA,5th overall,1st round,2004,University of Wisconsin,6-3,185lb,Right,Point Guard and Shooting Guard
475,Devyn Marble,"September 21, 1992",USA,56th overall,2nd round,2014,University of Iowa,6-6,200lb,Right,Shooting Guard
476,Dewayne Dedmon,"August 12, 1989",USA,,,,University of Southern California,7-0,245lb,Right,Center
477,Dexter Pittman,"March 2, 1988",USA,32nd overall,2nd round,2010,University of Texas at Austin,6-11,308lb,Right,Center
478,Deyonta Davis,"December 2, 1996",USA,31st overall,2nd round,2016,Michigan State University,6-11,237lb,Right,Center
479,Diamond Stone,"February 10, 1997",USA,40th overall,2nd round,2016,University of Maryland,6-11,255lb,Right,Center
480,Diante Garrett,"November 3, 1988",USA,,,,Iowa State University,6-4,190lb,Right,Point Guard
481,Dickey Simpkins,"April 6, 1972",USA,21st overall,1st round,1994,Providence College,6-9,248lb,Right,Power Forward and Center
482,Dijon Thompson,"February 23, 1983",USA,54th overall,2nd round,2005,"University of California, Los Angeles",6-7,195lb,Right,Shooting Guard and Small Forward
483,Dikembe Mutombo,"June 25, 1966",Democratic Republic of the Congo,4th overall,1st round,1991,Georgetown University,7-2,245lb,Right,Center
484,Dillon Brooks,"January 22, 1996",Canada,45th overall,2nd round,2017,University of Oregon,6-6,220lb,Right,Small Forward
485,Dino Radja,"April 24, 1967",Croatia,40th overall,2nd round,1989,,6-11,225lb,Right,Power Forward and Center
486,Dion Glover,"October 22, 1978",USA,20th overall,1st round,1999,Georgia Institute of Technology,6-5,228lb,Right,Shooting Guard
487,Dion Waiters,"December 10, 1991",USA,4th overall,1st round,2012,Syracuse University,6-4,215lb,Right,Shooting Guard
488,Dirk Nowitzki,"June 19, 1978",Germany,9th overall,1st round,1998,,7-0,245lb,Right,Power Forward and Center
489,Domantas Sabonis,"May 3, 1996",USA,11th overall,1st round,2016,Gonzaga University,6-11,240lb,Left,Center and Power Forward
490,Dominic McGuire,"October 20, 1985",USA,47th overall,2nd round,2007,"University of California, California State University, Fresno",6-9,220lb,Right,Shooting Guard and Power Forward and Small Forward
491,Dominique Jones,"October 15, 1988",USA,25th overall,1st round,2010,University of South Florida,6-4,215lb,Right,Point Guard and Shooting Guard
492,Dominique Wilkins,"January 12, 1960",France,3rd overall,1st round,1982,University of Georgia,6-8,215lb,Right,Small Forward
493,Don MacLean,"January 16, 1970",USA,19th overall,1st round,1992,"University of California, Los Angeles",6-10,235lb,Right,Power Forward and Small Forward
494,Don Reid,"December 30, 1973",District of Columbia,58th overall,2nd round,1995,Georgetown University,6-8,250lb,Right,Power Forward
495,Donald Royal,"May 22, 1966",USA,52nd overall,3rd round,1987,University of Notre Dame,6-8,210lb,Right,Small Forward
496,Donald Sloan,"January 15, 1988",USA,,,,Texas A&M University,6-3,205lb,Right,Point Guard and Shooting Guard
497,Donald Whiteside,"April 25, 1969",USA,,,,Northern Illinois University,5-10,160lb,Right,Point Guard
498,Donatas Motiejunas,"September 20, 1990",Lithuania,20th overall,1st round,2011,,7-0,222lb,Left,Power Forward
499,Donell Taylor,"July 26, 1982",District of Columbia,,,,"Okaloosa-Walton Community College, University of Alabama at Birmingham",6-6,180lb,Right,Shooting Guard
500,Donnell Harvey,"August 26, 1980",USA,22nd overall,1st round,2000,University of Florida,6-8,220lb,Left,Power Forward and Small Forward
501,Donnie Boyce,"September 2, 1973",USA,42nd overall,2nd round,1995,University of Colorado,6-5,196lb,Right,Shooting Guard
502,Donny Marshall,"July 17, 1972",USA,39th overall,2nd round,1995,University of Connecticut,6-7,230lb,Right,Small Forward
503,Donovan Mitchell,"September 7, 1996",USA,13th overall,1st round,2017,University of Louisville,6-3,215lb,Right,Shooting Guard
504,Donta Smith,"November 27, 1983",USA,34th overall,2nd round,2004,Southeastern Illinois College,6-7,215lb,Right,Shooting Guard
505,Dontae' Jones,"June 2, 1975",USA,21st overall,1st round,1996,"Northeast Mississippi Community College, Mississippi State University",6-8,220lb,Right,Small Forward
506,Donte Greene,"February 21, 1988",Germany,28th overall,1st round,2008,Syracuse University,6-11,226lb,Right,Small Forward and Power Forward
507,Dontonio Wingfield,"June 23, 1974",USA,37th overall,2nd round,1994,University of Cincinnati,6-8,256lb,Right,Small Forward
508,Donyell Marshall,"May 18, 1973",USA,4th overall,1st round,1994,University of Connecticut,6-9,218lb,Right,Power Forward and Small Forward
509,Dorell Wright,"December 2, 1985",USA,19th overall,1st round,2004,,6-9,205lb,Right,Small Forward
510,Dorian Finney-Smith,"May 4, 1993",USA,,,,University of Florida,6-8,220lb,Right,Small Forward and Power Forward
511,Doron Lamb,"November 6, 1991",USA,42nd overall,2nd round,2012,University of Kentucky,6-4,210lb,Right,Shooting Guard
512,Doug Christie,"May 9, 1970",USA,17th overall,1st round,1992,Pepperdine University,6-6,200lb,Right,Shooting Guard and Small Forward
513,Doug McDermott,"January 3, 1992",USA,11th overall,1st round,2014,Creighton University,6-8,225lb,Right,Small Forward
514,Doug Overton,"August 3, 1969",USA,40th overall,2nd round,1991,La Salle University,6-3,190lb,Right,Point Guard
515,Doug West,"May 27, 1967",USA,38th overall,2nd round,1989,Villanova University,6-6,200lb,Right,Shooting Guard
516,Dragan Bender,"November 17, 1997",Bosnia and Herzegovina,4th overall,1st round,2016,,7-1,225lb,Right,Power Forward
517,Dragan Tarlac,"May 9, 1973",Serbia,31st overall,2nd round,1995,,6-10,260lb,Right,Center
518,Draymond Green,"March 4, 1990",USA,35th overall,2nd round,2012,Michigan State University,6-7,230lb,Right,Small Forward and Power Forward
519,Drew Barry,"February 17, 1973",USA,57th overall,2nd round,1996,Georgia Institute of Technology,6-5,191lb,Right,Shooting Guard and Point Guard
520,Drew Gooden,"September 24, 1981",USA,4th overall,1st round,2002,University of Kansas,6-10,250lb,Right,Small Forward and Center and Power Forward
521,Drew Gordon,"July 12, 1990",USA,,,,"University of California, Los Angeles, University of New Mexico",6-9,245lb,Right,Power Forward
522,Duane Causwell,"May 31, 1968",USA,18th overall,1st round,1990,Temple University,7-0,240lb,Right,Center
523,Duane Ferrell,"February 28, 1965",USA,,,,Georgia Institute of Technology,6-7,209lb,Right,Small Forward
524,Duje Dukan,"December 4, 1991",Croatia,,,,University of Wisconsin,6-9,220lb,Right,Small Forward
525,Dwayne Bacon,"August 30, 1995",USA,40th overall,2nd round,2017,Florida State University,6-7,221lb,Right,Shooting Guard
526,Dwayne Jones,"June 9, 1983",USA,,,,Saint Joseph's University,6-11,250lb,Right,Power Forward
527,Dwayne Schintzius,"October 14, 1968",USA,24th overall,1st round,1990,University of Florida,7-1,260lb,Right,Center
528,Dwight Buycks,"March 6, 1989",USA,,,,Marquette University,6-3,190lb,Right,Point Guard
529,Dwight Howard,"December 8, 1985",USA,1st overall,1st round,2004,,6-11,265lb,Right,Power Forward and Center
530,Dwight Powell,"July 20, 1991",Canada,45th overall,2nd round,2014,Stanford University,6-11,240lb,Right,Power Forward and Center
531,Dwyane Wade,"January 17, 1982",USA,5th overall,1st round,2003,Marquette University,6-4,220lb,Right,Point Guard and Shooting Guard
532,E'Twaun Moore,"February 25, 1989",USA,55th overall,2nd round,2011,Purdue University,6-4,191lb,Right,Point Guard and Shooting Guard
533,Earl Barron,"August 14, 1981",USA,,,,University of Memphis,7-0,250lb,Right,Center
534,Earl Boykins,"June 2, 1976",USA,,,,Eastern Michigan University,5-5,135lb,Right,Shooting Guard and Point Guard
535,Earl Clark,"January 17, 1988",USA,14th overall,1st round,2009,University of Louisville,6-10,225lb,Right,Power Forward and Small Forward
536,Earl Cureton,"September 3, 1957",USA,58th overall,3rd round,1979,"Robert Morris University (PA), University of Detroit Mercy",6-9,210lb,Right,Center and Power Forward
537,Earl Watson,"June 12, 1979",USA,40th overall,2nd round,2001,"University of California, Los Angeles",6-1,195lb,Right,Point Guard
538,Ed Davis,"June 5, 1989",District of Columbia,13th overall,1st round,2010,University of North Carolina,6-10,225lb,Left,Center and Power Forward
539,Ed Gray,"September 27, 1975",USA,22nd overall,1st round,1997,"University of Tennessee, University of California",6-3,210lb,Right,Shooting Guard
540,Ed O'Bannon,"August 14, 1972",USA,9th overall,1st round,1995,"University of California, Los Angeles",6-8,222lb,Left,Shooting Guard and Small Forward
541,Ed Pinckney,"March 27, 1963",USA,10th overall,1st round,1985,Villanova University,6-9,195lb,Right,Power Forward and Small Forward
542,Ed Stokes,"September 3, 1971",USA,35th overall,2nd round,1993,University of Arizona,7-0,264lb,Right,Center
543,Eddie Basden,"February 15, 1983",USA,,,,University of North Carolina at Charlotte,6-5,215lb,Right,Small Forward
544,Eddie Gill,"August 16, 1978",USA,,,,Weber State University,6-0,190lb,Right,Point Guard
545,Eddie Griffin,"May 30, 1982",USA,7th overall,1st round,2001,Seton Hall University,6-10,220lb,Right,Power Forward and Center
546,Eddie House,"May 14, 1978",USA,37th overall,2nd round,2000,Arizona State University,6-1,180lb,Right,Shooting Guard and Point Guard
548,Eddie Jones,"October 20, 1971",USA,10th overall,1st round,1994,Temple University,6-6,190lb,Right,Small Forward and Shooting Guard
549,Eddie Robinson,"April 19, 1976",USA,,,,University of Central Oklahoma,6-8,210lb,Right,Small Forward
550,Eddy Curry,"December 5, 1982",USA,4th overall,1st round,2001,,7-0,295lb,Right,Power Forward and Center
551,Eduardo Najera,"July 11, 1976",Mexico,38th overall,2nd round,2000,University of Oklahoma,6-8,240lb,Right,Power Forward and Small Forward
552,Edy Tavares,"March 22, 1992",Cape Verde,43rd overall,2nd round,2014,,7-3,260lb,Right,Center
553,Ekpe Udoh,"May 20, 1987",USA,6th overall,1st round,2010,"University of Michigan, Baylor University",6-10,245lb,Right,Power Forward and Center
554,Elden Campbell,"July 23, 1968",USA,27th overall,1st round,1990,Clemson University,6-11,215lb,Right,Power Forward and Center
555,Eldridge Recasner,"December 14, 1967",USA,,,,University of Washington,6-3,190lb,Right,Point Guard and Shooting Guard
556,Elfrid Payton,"February 22, 1994",USA,10th overall,1st round,2014,University of Louisiana at Lafayette,6-4,185lb,Right,Point Guard
557,Elijah Millsap,"August 12, 1987",USA,,,,"University of Louisiana at Lafayette, University of Alabama at Birmingham",6-6,225lb,Right,Shooting Guard
558,Elliot Perry,"March 28, 1969",USA,37th overall,2nd round,1991,University of Memphis,6-0,150lb,Left,Point Guard
559,Elliot Williams,"June 20, 1989",USA,22nd overall,1st round,2010,"Duke University, University of Memphis",6-5,190lb,Left,Point Guard and Shooting Guard
560,Elton Brand,"March 11, 1979",USA,1st overall,1st round,1999,Duke University,6-8,275lb,Right,Power Forward and Center
561,Emanual Davis,"August 27, 1968",USA,,,,Delaware State University,6-4,195lb,Right,Shooting Guard and Point Guard
562,Emeka Okafor,"September 28, 1982",USA,2nd overall,1st round,2004,University of Connecticut,6-10,252lb,Right,Power Forward and Center
563,Emmanuel Mudiay,"March 5, 1996",Democratic Republic of the Congo,7th overall,1st round,2015,,6-5,200lb,Right,Point Guard
564,Enes Kanter,"May 20, 1992",Switzerland,3rd overall,1st round,2011,,6-11,250lb,Right,Center
565,Eric Bledsoe,"December 9, 1989",USA,18th overall,1st round,2010,University of Kentucky,6-1,205lb,Right,Point Guard
566,Eric Dawson,"July 7, 1984",USA,,,,Midwestern State University,6-9,250lb,Right,Center
567,Eric Gordon,"December 25, 1988",USA,7th overall,1st round,2008,Indiana University,6-4,215lb,Right,Shooting Guard and Point Guard
568,Eric Leckner,"May 27, 1966",USA,17th overall,1st round,1988,University of Wyoming,6-11,265lb,Right,Center
569,Eric Maynor,"June 11, 1987",USA,20th overall,1st round,2009,Virginia Commonwealth University,6-3,175lb,Right,Shooting Guard and Point Guard
570,Eric Mobley,"February 1, 1970",USA,18th overall,1st round,1994,University of Pittsburgh,6-11,235lb,Right,Center
571,Eric Montross,"September 23, 1971",USA,9th overall,1st round,1994,University of North Carolina,7-0,270lb,Right,Center
572,Eric Moreland,"December 24, 1991",USA,,,,Oregon State University,6-10,238lb,Right,Power Forward
573,Eric Murdock,"June 14, 1968",USA,21st overall,1st round,1991,Providence College,6-1,190lb,Right,Point Guard
574,Eric Piatkowski,"September 30, 1970",USA,15th overall,1st round,1994,University of Nebraska,6-7,215lb,Right,Shooting Guard and Small Forward
575,Eric Riley,"June 2, 1970",USA,33rd overall,2nd round,1993,University of Michigan,7-0,245lb,Right,Center
576,Eric Snow,"April 24, 1973",USA,43rd overall,2nd round,1995,Michigan State University,6-3,190lb,Right,Shooting Guard and Point Guard
577,Eric Washington,"March 23, 1974",USA,46th overall,2nd round,1997,University of Alabama,6-4,190lb,Right,Shooting Guard
578,Eric Williams,"July 17, 1972",USA,14th overall,1st round,1995,Providence College,6-8,220lb,Right,Shooting Guard and Small Forward
579,Erick Barkley,"February 21, 1978",USA,28th overall,1st round,2000,St. John's University,6-1,177lb,Right,Point Guard
580,Erick Dampier,"July 14, 1975",USA,10th overall,1st round,1996,Mississippi State University,6-11,265lb,Right,Center
581,Erick Green,"May 9, 1991",USA,46th overall,2nd round,2013,Virginia Polytechnic Institute and State University,6-4,185lb,Right,Point Guard
582,Erick Strickland,"November 25, 1973",USA,,,,University of Nebraska,6-3,210lb,Left,Shooting Guard and Point Guard
583,Erik Daniels,"April 1, 1982",USA,,,,University of Kentucky,6-8,214lb,Left,Small Forward
584,Ernest Brown,"May 17, 1979",USA,52nd overall,2nd round,2000,Indian Hills Community College,7-0,244lb,Right,Center
585,Ersan Ilyasova,"May 15, 1987",Turkey,36th overall,2nd round,2005,,6-10,235lb,Right,Power Forward
586,Ervin Johnson,"December 21, 1967",USA,23rd overall,1st round,1993,University of New Orleans,6-11,245lb,Right,Center
587,Esteban Batista,"September 2, 1983",Uruguay,,,,,6-10,270lb,Left,Power Forward
588,Etan Thomas,"April 1, 1978",USA,12th overall,1st round,2000,Syracuse University,6-9,256lb,Right,Power Forward and Center
589,Etdrick Bohannon,"May 29, 1973",USA,,,,"University of Arizona, University of Tennessee, Auburn University at Montgomery",6-9,220lb,Right,Power Forward and Small Forward
590,Evan Eschmeyer,"May 30, 1975",USA,34th overall,2nd round,1999,Northwestern University,6-11,255lb,Right,Center
591,Evan Fournier,"October 29, 1992",France,20th overall,1st round,2012,,6-7,205lb,Right,Small Forward and Shooting Guard
592,Evan Turner,"October 27, 1988",USA,2nd overall,1st round,2010,Ohio State University,6-7,220lb,Right,Small Forward and Shooting Guard and Point Guard
593,Fab Melo,"June 20, 1990",Brazil,22nd overall,1st round,2012,Syracuse University,7-0,255lb,Right,Center
594,Fabricio Oberto,"March 21, 1975",Argentina,,,,,6-10,245lb,Right,Power Forward and Center
595,Felipe Lopez,"December 19, 1974",Dominican Republic,24th overall,1st round,1998,St. John's University,6-5,199lb,Right,Shooting Guard and Point Guard
596,Felton Spencer,"January 15, 1968",USA,6th overall,1st round,1990,University of Louisville,7-0,265lb,Right,Center
597,Festus Ezeli,"October 21, 1989",Nigeria,30th overall,1st round,2012,Vanderbilt University,6-11,255lb,Right,Center
598,Francisco Elson,"February 28, 1976",Netherlands,41st overall,2nd round,1999,University of California,7-0,235lb,Right,Center
599,Francisco Garcia,"December 31, 1981",Dominican Republic,23rd overall,1st round,2005,University of Louisville,6-7,195lb,Right,Small Forward and Shooting Guard
600,Frank Brickowski,"August 14, 1959",USA,57th overall,3rd round,1981,Pennsylvania State University,6-9,240lb,Right,Power Forward and Center and Small Forward
601,Frank Kaminsky,"April 4, 1993",USA,9th overall,1st round,2015,University of Wisconsin,7-0,242lb,Right,Center and Power Forward
602,Frank Ntilikina,"July 28, 1998",Belgium,8th overall,1st round,2017,,6-6,200lb,Right,Point Guard
603,Frank Williams,"February 25, 1980",USA,25th overall,1st round,2002,University of Illinois at Urbana-Champaign,6-3,212lb,Right,Point Guard and Shooting Guard
604,Fred Hoiberg,"October 15, 1972",USA,52nd overall,2nd round,1995,Iowa State University,6-4,203lb,Right,Shooting Guard
605,Fred Jones,"March 11, 1979",USA,14th overall,1st round,2002,University of Oregon,6-4,210lb,Right,Small Forward and Shooting Guard
606,Fred Roberts,"August 14, 1960",USA,27th overall,2nd round,1982,Brigham Young University,6-10,218lb,Right,Power Forward and Center and Small Forward
607,Fred VanVleet,"February 25, 1994",USA,,,,Wichita State University,6-0,195lb,Right,Point Guard
608,Fred Vinson,"January 28, 1971",USA,,,,Georgia Institute of Technology,6-4,190lb,Right,Shooting Guard
609,Furkan Aldemir,"August 9, 1991",Turkey,53rd overall,2nd round,2012,,6-10,240lb,Right,Power Forward
610,Furkan Korkmaz,"July 24, 1997",Turkey,26th overall,1st round,2016,,6-7,190lb,Right,Shooting Guard
611,Gabe Pruitt,"April 19, 1986",USA,32nd overall,2nd round,2007,University of Southern California,6-4,170lb,Right,Point Guard and Shooting Guard
612,Gal Mekel,"March 4, 1988",Israel,,,,Wichita State University,6-3,191lb,Right,Point Guard
613,Gani Lawal,"November 7, 1988",USA,46th overall,2nd round,2010,Georgia Institute of Technology,6-9,234lb,Right,Power Forward
614,Garret Siler,"October 25, 1986",USA,,,,Augusta State University,6-11,305lb,Right,Center
615,Garrett Temple,"May 8, 1986",USA,,,,Louisiana State University,6-6,195lb,Right,Point Guard and Small Forward and Shooting Guard
616,Garth Joseph,"August 8, 1973",Dominica,,,,College of Saint Rose,7-2,315lb,Right,Center
617,Gary Forbes,"February 25, 1985",Panama,,,,"University of Virginia, University of Massachusetts Amherst",6-7,220lb,Right,Small Forward and Shooting Guard
618,Gary Grant,"April 21, 1965",USA,15th overall,1st round,1988,University of Michigan,6-3,185lb,Right,Point Guard
619,Gary Harris,"September 14, 1994",USA,19th overall,1st round,2014,Michigan State University,6-4,210lb,Right,Shooting Guard
620,Gary Neal,"October 3, 1984",USA,,,,"La Salle University, Towson University",6-4,210lb,Right,Shooting Guard
621,Gary Payton,"July 23, 1968",USA,2nd overall,1st round,1990,Oregon State University,6-4,180lb,Right,Point Guard
622,Gary Trent,"September 22, 1974",USA,11th overall,1st round,1995,Ohio University,6-8,250lb,Right,Small Forward and Power Forward and Center
623,Gaylon Nickerson,"February 5, 1969",USA,34th overall,2nd round,1994,"Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University",6-3,190lb,Right,Shooting Guard
624,Geno Carlisle,"August 13, 1976",USA,,,,"Northwestern University, University of California",6-3,180lb,Right,Shooting Guard
625,George Hill,"May 4, 1986",USA,26th overall,1st round,2008,Indiana University-Purdue University Indianapolis,6-3,188lb,Right,Point Guard
626,George Lynch,"September 3, 1970",USA,12th overall,1st round,1993,University of North Carolina,6-8,218lb,Right,Small Forward and Shooting Guard
627,George McCloud,"May 27, 1967",USA,7th overall,1st round,1989,Florida State University,6-6,205lb,Right,Small Forward
628,George Zidek,"August 2, 1973",Czech Republic,22nd overall,1st round,1995,"University of California, Los Angeles",7-0,250lb,Right,Center
629,Georgios Papagiannis,"July 3, 1997",Greece,13th overall,1st round,2016,,7-1,240lb,Right,Center
630,Gerald Brown,"July 28, 1975",USA,,,,Pepperdine University,6-4,210lb,Right,Shooting Guard
631,Gerald Fitch,"August 12, 1982",USA,,,,University of Kentucky,6-3,188lb,Right,Point Guard
632,Gerald Green,"January 26, 1986",USA,18th overall,1st round,2005,,6-7,205lb,Right,Shooting Guard and Small Forward
634,Gerald Wallace,"July 23, 1982",USA,25th overall,1st round,2001,University of Alabama,6-7,215lb,Right,Small Forward and Power Forward
635,Gerald Wilkins,"September 11, 1963",USA,47th overall,2nd round,1985,University of Tennessee at Chattanooga,6-6,185lb,Right,Small Forward and Shooting Guard
636,Gerard King,"November 25, 1972",USA,,,,Nicholls State University,6-9,230lb,Right,Small Forward
637,Gheorghe Muresan,"February 14, 1971",Romania,30th overall,2nd round,1993,,7-7,303lb,Right,Center
638,Giannis Antetokounmpo,"December 6, 1994",Greece,15th overall,1st round,2013,,6-11,242lb,Right,Point Guard and Power Forward and Small Forward and Shooting Guard
639,Gigi Datome,"November 27, 1987",Italy,,,,,6-8,215lb,Right,Small Forward
640,Gilbert Arenas,"January 6, 1982",USA,31st overall,2nd round,2001,University of Arizona,6-3,191lb,Right,Point Guard
641,Glen Davis,"January 1, 1986",USA,35th overall,2nd round,2007,Louisiana State University,6-9,289lb,Right,Power Forward and Center
642,Glen Rice,"May 28, 1967",USA,4th overall,1st round,1989,University of Michigan,6-7,215lb,Right,Small Forward
643,Glenn Robinson,"January 10, 1973",USA,1st overall,1st round,1994,Purdue University,6-7,225lb,Right,Small Forward
644,Glenn Robinson III,"January 8, 1994",USA,40th overall,2nd round,2014,University of Michigan,6-6,222lb,Right,Shooting Guard and Small Forward
645,God Shammgod,"April 29, 1976",USA,45th overall,2nd round,1997,Providence College,6-0,169lb,Right,Point Guard
646,Goran Dragic,"May 6, 1986",Slovenia,45th overall,2nd round,2008,,6-3,190lb,Left,Point Guard and Shooting Guard
647,Gordan Giricek,"June 20, 1977",Croatia,40th overall,2nd round,1999,,6-6,210lb,Right,Small Forward and Shooting Guard
648,Gordon Hayward,"March 23, 1990",USA,9th overall,1st round,2010,Butler University,6-8,225lb,Right,Power Forward and Small Forward
649,Gorgui Dieng,"January 18, 1990",Senegal,21st overall,1st round,2013,University of Louisville,6-11,252lb,Right,Center and Power Forward
650,Grant Hill,"October 5, 1972",USA,3rd overall,1st round,1994,Duke University,6-8,225lb,Right,Shooting Guard and Small Forward
651,Grant Jerrett,"July 8, 1993",USA,40th overall,2nd round,2013,University of Arizona,6-10,235lb,Right,Power Forward
652,Grant Long,"March 12, 1966",USA,33rd overall,2nd round,1988,Eastern Michigan University,6-8,225lb,Right,Power Forward
653,Greg Anderson,"June 22, 1964",USA,23rd overall,1st round,1987,University of Houston,6-10,230lb,Right,Center and Power Forward
654,Greg Anthony,"November 15, 1967",USA,12th overall,1st round,1991,"University of Portland, University of Nevada, Las Vegas",6-0,176lb,Left,Point Guard
655,Greg Buckner,"September 16, 1976",USA,53rd overall,2nd round,1998,Clemson University,6-4,210lb,Right,Shooting Guard and Small Forward
656,Greg Dreiling,"November 7, 1962",USA,26th overall,2nd round,1986,"Wichita State University, University of Kansas",7-1,250lb,Right,Center
657,Greg Foster,"October 3, 1968",USA,35th overall,2nd round,1990,"University of California, Los Angeles, University of Texas at El Paso",6-11,240lb,Right,Center and Power Forward
658,Greg Graham,"November 26, 1970",USA,17th overall,1st round,1993,Indiana University,6-4,174lb,Right,Shooting Guard
659,Greg Minor,"September 18, 1971",USA,25th overall,1st round,1994,University of Louisville,6-6,210lb,Right,Shooting Guard and Small Forward
660,Greg Monroe,"June 4, 1990",USA,7th overall,1st round,2010,Georgetown University,6-11,265lb,Left,Power Forward and Center
661,Greg Oden,"January 22, 1988",USA,1st overall,1st round,2007,Ohio State University,7-0,250lb,Right,Center
662,Greg Ostertag,"March 6, 1973",USA,28th overall,1st round,1995,University of Kansas,7-2,280lb,Right,Center
664,Greg Stiemsma,"September 26, 1985",USA,,,,University of Wisconsin,6-11,260lb,Right,Center
665,Greivis Vasquez,"January 16, 1987",Venezuela,28th overall,1st round,2010,University of Maryland,6-6,217lb,Right,Point Guard and Shooting Guard
666,Guerschon Yabusele,"December 17, 1995",France,16th overall,1st round,2016,,6-8,260lb,Right,Power Forward
667,Guillermo Diaz,"March 4, 1985",Puerto Rico,52nd overall,2nd round,2006,University of Miami,6-2,192lb,Right,Shooting Guard
668,Gustavo Ayon,"April 1, 1985",Mexico,,,,,6-10,250lb,Right,Center and Power Forward
669,Guy Rucker,"July 27, 1977",USA,,,,University of Iowa,6-11,265lb,Right,Power Forward
670,Hakeem Olajuwon,"January 21, 1963",Nigeria,1st overall,1st round,1984,University of Houston,7-0,255lb,Right,Center
671,Hakim Warrick,"July 8, 1982",USA,19th overall,1st round,2005,Syracuse University,6-9,219lb,Right,Power Forward
672,Hamed Haddadi,"May 19, 1985",Islamic Republic of Iran,,,,,7-2,254lb,Right,Center
673,Hanno Mottola,"September 9, 1976",Finland,40th overall,2nd round,2000,University of Utah,6-11,247lb,Right,Small Forward and Center
674,Harold Jamison,"November 20, 1976",USA,,,,Clemson University,6-8,260lb,Right,Power Forward
675,Harrison Barnes,"May 30, 1992",USA,7th overall,1st round,2012,University of North Carolina,6-8,225lb,Right,Power Forward and Small Forward
676,Harvey Grant,"July 4, 1965",USA,12th overall,1st round,1988,"Clemson University, University of Oklahoma",6-8,195lb,Right,Small Forward and Power Forward
677,Hasheem Thabeet,"February 16, 1987",United Republic of Tanzania,2nd overall,1st round,2009,University of Connecticut,7-3,263lb,Right,Center
678,Hassan Adams,"June 20, 1984",USA,54th overall,2nd round,2006,University of Arizona,6-4,220lb,Right,Shooting Guard
679,Hassan Whiteside,"June 13, 1989",USA,33rd overall,2nd round,2010,Marshall University,7-0,265lb,Right,Center
680,Haywoode Workman,"January 23, 1966",USA,49th overall,2nd round,1989,"Winston-Salem State University, Oral Roberts University",6-2,180lb,Right,Point Guard
681,Hedo Turkoglu,"March 19, 1979",Turkey,16th overall,1st round,2000,,6-10,220lb,Right,Power Forward and Small Forward
682,Henry Ellenson,"January 13, 1997",USA,18th overall,1st round,2016,Marquette University,6-11,245lb,Right,Power Forward
683,Henry James,"July 29, 1965",USA,,,,"South Plains College, St. Mary's University",6-8,220lb,Right,Power Forward and Small Forward
684,Henry Sims,"March 27, 1990",USA,,,,Georgetown University,6-10,248lb,Right,Center
685,Henry Walker,"October 9, 1987",USA,47th overall,2nd round,2008,Kansas State University,6-6,220lb,Right,Small Forward and Shooting Guard
686,Herb Williams,"February 16, 1958",USA,14th overall,1st round,1981,Ohio State University,6-10,242lb,Right,Power Forward and Center
687,Hersey Hawkins,"September 29, 1966",USA,6th overall,1st round,1988,Bradley University,6-3,190lb,Right,Shooting Guard
688,Hilton Armstrong,"November 11, 1984",USA,12th overall,1st round,2006,University of Connecticut,6-11,235lb,Right,Center and Power Forward
689,Hollis Thompson,"April 3, 1991",USA,,,,Georgetown University,6-8,206lb,Right,Small Forward and Shooting Guard
690,Horace Grant,"July 4, 1965",USA,10th overall,1st round,1987,Clemson University,6-10,215lb,Right,Center and Power Forward
691,Horace Jenkins,"October 14, 1974",USA,,,,William Paterson University,6-1,180lb,Right,Point Guard
692,Hot Rod Williams,"August 9, 1962",USA,45th overall,2nd round,1985,Tulane University,6-11,215lb,Right,Center and Power Forward
693,Howard Eisley,"December 4, 1972",USA,30th overall,2nd round,1994,Boston College,6-2,177lb,Right,Shooting Guard and Point Guard
694,Hubert Davis,"May 17, 1970",USA,20th overall,1st round,1992,University of North Carolina,6-5,183lb,Right,Point Guard and Shooting Guard
695,Ian Clark,"March 7, 1991",USA,,,,Belmont University,6-3,175lb,Right,Shooting Guard
696,Ian Mahinmi,"November 5, 1986",France,28th overall,1st round,2005,,6-11,262lb,Right,Center
697,Igor Rakocevic,"March 29, 1978",Serbia,51st overall,2nd round,2000,,6-3,183lb,Right,Point Guard
698,Ike Anigbogu,"October 17, 1998",USA,47th overall,2nd round,2017,"University of California, Los Angeles",6-10,250lb,Right,Center
699,Ike Diogu,"September 11, 1983",USA,9th overall,1st round,2005,Arizona State University,6-8,250lb,Right,Power Forward
700,Iman Shumpert,"June 26, 1990",USA,17th overall,1st round,2011,Georgia Institute of Technology,6-5,215lb,Right,Shooting Guard and Point Guard
701,Ime Udoka,"August 9, 1977",USA,,,,"University of San Francisco, Portland State University",6-6,215lb,Right,Shooting Guard and Power Forward and Small Forward
702,Ira Bowman,"June 11, 1973",USA,,,,"Providence College, University of Pennsylvania",6-5,195lb,Right,Point Guard and Shooting Guard
703,Ira Newble,"January 20, 1975",USA,,,,Miami University,6-7,220lb,Right,Small Forward and Shooting Guard
704,Isaiah Canaan,"May 21, 1991",USA,34th overall,2nd round,2013,Murray State University,6-0,201lb,Right,Shooting Guard and Point Guard
